datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
2019.12.06 01:17:03,88,7,50,10.563,33.2,1
2019.12.06 01:12:03,88,7,90,10.563,33.2,1
2019.12.06 01:07:03,88,7.2,70,10.438,33.2,1
2019.12.06 01:02:03,88,7,80,10.625,33.2,1
2019.12.06 00:52:03,88,7.2,10,10.688,33.2,1
2019.12.06 00:47:03,88,7,70,10.563,33.2,1
2019.12.06 00:42:03,88,7.1,80,10.688,33.2,1
2019.12.06 00:37:03,88,7,20,10.75,33.2,1
2019.12.06 00:32:03,88,7.1,0,10.688,33.2,1
2019.12.06 00:27:03,88,7,50,10.75,33.2,1
2019.12.06 00:22:03,88,7.1,80,10.938,33.2,1
2019.12.06 00:17:03,88,7.8,30,10.938,33.2,1
2019.12.06 00:12:03,88,7.7,10,10.75,33.2,1
2019.12.06 00:07:03,88,8.1,80,10.875,33.2,1
2019.12.06 00:02:03,88,8,100,10.813,33.2,1
2019.12.05 23:57:03,88,8,10,10.813,33.2,1
2019.12.05 23:52:03,88,7.6,20,10.938,33.2,1
2019.12.05 23:47:03,88,7.7,40,11.063,33.2,1
2019.12.05 23:41:58,88,7.5,80,11,33.2,1
2019.12.05 23:36:58,88,7.3,30,11.063,33.2,1
2019.12.05 23:31:58,88,7.2,50,11.188,33.2,1
2019.12.05 23:26:58,88,7.9,60,11.063,33.2,1
2019.12.05 23:21:58,88,8,0,11.188,33.2,1
2019.12.05 23:16:58,88,8.3,30,11.188,33.2,1
2019.12.05 23:11:58,88,8.4,0,11.25,33.2,1
2019.12.05 23:06:59,88,8.4,90,11.25,33.2,1
2019.12.05 23:01:59,88,8.3,40,11.188,33.2,1
2019.12.05 22:56:58,88,8.4,100,11.313,33.2,1
2019.12.05 22:51:58,88,8.9,90,11.375,33.2,1
2019.12.05 22:46:58,88,8.7,0,11.438,33.2,1
2019.12.05 22:41:58,88,8.7,0,11.438,33.2,1
2019.12.05 22:36:58,88,8.8,0,11.438,33.2,1
2019.12.05 22:31:59,88,8.6,70,11.5,33.2,1
2019.12.05 22:26:58,88,8.5,60,11.563,33.2,1
2019.12.05 22:21:58,88,8.8,50,11.625,33.2,1
2019.12.05 22:16:58,88,8.6,0,11.688,33.2,1
2019.12.05 22:11:59,88,8.6,40,11.688,33.2,1
2019.12.05 22:06:58,88,8.2,0,11.813,33.2,1
2019.12.05 22:01:59,88,8.3,90,11.75,33.2,1
2019.12.05 21:56:58,88,8.5,60,11.625,33.2,1
2019.12.05 21:51:58,88,8.6,70,11.938,33.2,1
2019.12.05 21:46:58,88,8.8,10,11.75,33.2,1
2019.12.05 21:32:22,88,9.5,50,11.875,33.2,1
2019.12.05 21:26:58,88,9,10,11.938,33.2,1
2019.12.05 21:21:58,88,8.6,70,11.938,33.2,1
2019.12.05 21:16:58,88,9.3,0,12,33.2,1
2019.12.05 21:11:58,88,9.1,0,12.188,33.2,1
2019.12.05 21:06:58,88,9.1,90,12.125,33.2,1
2019.12.05 21:01:58,88,8.9,90,12.125,33.2,1
2019.12.05 20:56:58,88,9.1,30,12.313,33.2,1
2019.12.05 20:51:58,88,8.8,10,12.313,33.2,1
2019.12.05 20:46:58,88,9.6,80,12.375,33.2,1
2019.12.05 20:41:58,88,10.2,0,12.438,33.2,1
2019.12.05 20:31:59,88,10.3,0,12.438,33.2,1
2019.12.05 20:26:57,88,10.7,50,12.438,33.2,1
2019.12.05 20:21:58,89,11,0,,33.2,1
2019.12.05 20:11:57,90,12.2,10,12.688,33.2,1
2019.12.05 20:01:58,89,11.9,70,12.813,33.2,1
2019.12.05 19:56:57,89,11.7,90,12.813,33.2,1
2019.12.05 19:51:57,89,11.7,0,12.813,33.2,1
2019.12.05 19:46:57,89,11.7,50,12.813,33.2,1
2019.12.05 19:41:58,89,11.9,40,13,33.2,1
2019.12.05 19:36:58,89,11.8,100,12.875,33.2,1
2019.12.05 19:31:58,90,12.1,10,13.125,33.2,1
2019.12.05 19:26:58,90,12.2,20,13.125,33.2,1
2019.12.05 19:21:57,90,12.1,10,13.125,33.2,1
2019.12.05 19:16:57,90,12.4,70,13.313,33.2,1
2019.12.05 19:11:57,90,12.3,0,13.188,33.2,1
2019.12.05 19:06:57,89,11.9,40,13.375,33.2,1
2019.12.05 19:01:57,89,11.8,50,13.375,33.2,1
2019.12.05 18:56:58,90,12,60,13.313,33.2,1
2019.12.05 18:51:57,91,13.3,10,13.438,33.2,1
